Date,Salinity (ppt),DissolvedOxygen (mg/L),pH,SecchiDepth (m),WaterDepth (m),WaterTemp (C),AirTemp (C)
5/11/1989,,,7.5,0.3,0.9,17,-17.77777778
5/18/1989,,12,7.5,0.2,0.6,17.5,20.5
5/25/1989,,,8,0.4,0.8,23,25
6/1/1989,,12,8,0.4,0.9,25.5,29
7/11/1989,,,8.5,0.3,0.9,28.5,28
7/20/1989,,1.6,9,0.3,0.9,30,32.5
7/27/1989,,6.2,9,0.3,0.8,27,27
8/3/1989,,5.8,9.5,0.2,0.7,25,28
8/10/1989,,3.2,9,0.2,0.3,21.5,22.5
8/17/1989,,7.3,9,0.2,0.8,28,29
8/31/1989,,7.1,9,0.2,0.8,28,28
9/14/1989,,6,7.5,0.3,0.9,26,26
10/25/1989,,7.8,8.5,0.2,0.5,15,19
10/31/1989,,,7.5,0.2,0.7,21.5,22
11/20/1989,,,8,0.2,1,8.5,14
11/27/1989,,10.3,7.5,0.2,0.6,9,4
12/11/1989,,10.2,7,0.2,0.4,3,3
1/3/1990,,11.9,7.5,0.2,0.6,3,5
1/8/1990,,10.8,7.5,0.2,0.4,7,7.5
1/22/1990,1,9.7,7.5,0.15,0.65,10,12
1/30/1990,,10.8,7.5,0.2,0.7,9,13
2/7/1990,3.4,10.8,7.5,0.2,0.6,10,10
2/12/1990,3.2,10.6,7,0.2,0.7,10,9
2/20/1990,4.2,11.6,7.5,0.15,0.39,5,5
2/27/1990,2.8,13.8,7,0.5,1.5,2.5,1
3/5/1990,2.9,11.6,7,0.2,0.4,7,8.5
3/12/1990,2.9,9,7,0.15,0.69,17,21
3/19/1990,2.8,7.8,7,0.22,0.92,15,14
3/26/1990,3,10.8,7,0.25,0.4,9.5,9
4/2/1990,1.8,9.6,8,0.15,0.7,5,15
4/9/1990,4.1,10.8,7,0.25,0.78,11,12
4/16/1990,2.5,9.7,7,0.25,0.72,15,14
4/23/1990,2.8,10.7,7,0.25,0.59,15,15
4/30/1990,3.2,10,7,0.88,1.3,18,16
5/7/1990,4.5,8.9,7,0.25,0.75,17,18
5/14/1990,3.7,8.4,7,0.32,1,20,19
5/21/1990,2.9,,7,0.25,0.99,22,24.5
5/29/1990,2.1,8.9,7,0.375,0.95,19,20
6/4/1990,3.5,6.9,7,0.4,1.22,24,25
6/11/1990,3.2,7.9,7,0.35,0.75,24,22
6/16/1990,3.2,7.7,7,0.32,0.62,23.5,20
6/24/1990,3.8,7.9,7,0.35,0.91,26,26
7/2/1990,3.7,7.8,7,0.35,0.78,24,23.5
7/9/1990,4.2,7.5,7.5,0.3,0.82,26,26.5
7/16/1990,3.9,7.5,7,0.375,1.25,26.5,-17.77777778
7/26/1990,4.2,6.9,7.75,0.375,0.48,27,26
8/6/1990,4.2,7.7,8,0.4,0.98,26,26
8/13/1990,4.2,7.8,8,0.35,0.82,27,27
8/27/1990,4.2,8.9,8,0.35,0.94,27,28.5
9/4/1990,2.9,8.1,8,0.25,0.68,23,24
9/17/1990,2.4,8.8,8,0.25,0.78,21,18
10/15/1990,3.5,8.2,8,0.3,0.93,23,22
10/29/1990,0.7,12.5,8,0.1,0.38,9,10
12/17/1990,0.5,11.05,7.5,0.25,0.6,8,8
1/3/1991,0.5,11.9,7.5,0.25,0.78,9,11
1/7/1991,0.7,11.8,8,0.2,0.39,9,8
1/14/1991,0.4,12.2,8,0.2,0.65,4.5,4
1/24/1991,0.5,13.2,7.5,0.2,0.65,4.5,4.5
2/4/1991,0.9,,7.5,0.25,0.7,9,10.5
2/11/1991,0.7,11.1,7.5,0.3,0.41,7.5,8
2/21/1991,1.2,10.8,7.5,0.2,0.72,12,10.5
2/25/1991,0.7,11.8,7.5,0.2,0.28,8,8
3/4/1991,1.2,10,7.5,0.2,1.6,15,16
3/11/1991,0.4,12.9,7.5,0.15,0.35,6,4
3/18/1991,,9.95,7.7,0.25,0.69,11,14
3/25/1991,0,9.8,8,0.275,0.94,14,13
4/4/1991,1.2,10.7,8,0.32,0.78,13,14
4/8/1991,2.1,8.7,8,0.32,0.83,19,21
4/15/1991,1.2,8.9,7.5,0.32,0.52,14,15.5
4/22/1991,0.9,9.75,7.5,0.2,0.55,12.5,13
4/29/1991,2.4,8.3,7.5,0.35,0.8,20.5,18
5/6/1991,2.6,8,7.5,0.35,0.95,21,23.5
5/20/1991,1.3,9.5,7.5,0.3,0.5,15.5,15
6/10/1991,3,6.9,7.5,0.3,0.7,23,26
6/17/1991,3.8,6.8,7.5,0.325,1.09,26,27
6/26/1991,2.8,8.1,7.5,0.25,0.7,21,21.5
7/9/1991,1.8,7.8,7.5,0.35,0.95,28,29.5
